NAME,SAMPLE_ID,PLATE_ID,CAS,ATG_ID
Mercuric chloride,TX007182,TP0000434,7487-94-7,AT000064
Silica,TX001353,TP0000795,7631-86-9,AT000065
Sodium nitrite,TX001747,TP0000131,7632-00-0,AT000066
Phosphoric acid,TX011725,TP0000714,7664-38-2,AT000067
Sodium iodide,TX003195,TP0000715,7681-82-5,AT000068
Potassium nitrate,TX006840,TP0000719,7757-79-1,AT000069
Sodium chlorite,TX006834,TP0000795,7758-19-2,AT000070
Ammonium sulfamate,TX006822,TP0000716,7773-06-0,AT000071
Sodium persulfate,TX007176,TP0000721,7775-27-1,AT000072
1-Chloro-4-nitrobenzene,TX001844,TP0000308,100-00-5,AT000073
4-Nitroaniline,TX007263,TP0000410,100-01-6,AT000074
4-Nitrophenol,TX003185,TP0000308,100-02-7,AT000075
alpha-Cyclodextrin,TX008768,TP0000307,10016-20-3,AT000076
Terephthalic acid,TX002341,TP0000724,100-21-0,AT000077
"N,N-Diethylethanolamine",TX001886,TP0000133,100-37-8,AT000078
2-Propyl-1-heptanol,TX006600,TP0000717,10042-59-8,AT000079
Benzyl alcohol,TX002088,TP0000133,100-51-6,AT000080
3-Pyridinecarbonitrile,TX002369,TP0000410,100-54-9,AT000081
Cyclohexanone oxime,TX002371,TP0000719,100-64-1,AT000082
6-Deisopropylatrazine,TV000086,Phase_1,1007-28-9,AT000083
Halosulfuron-methyl,TV000225,Phase_1,100784-20-1,AT000084
4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,TX010234,TP0000721,10081-67-1,AT000085
Sodium 2-formylbenzenesulfonate,TX003235,TP0000718,1008-72-6,AT000086
11-Dimethyl-2-phenylethyl butanoate,TX005515,TP0000722,10094-34-5,AT000087
Methenamine,TX007255,TP0000410,100-97-0,AT000088
Triphenyl phosphite,TX001031,TP0000133,101-02-0,AT000089
Anilazine,TV000213,Phase_1,101-05-3,AT000090
Cloprop,TV000009,Phase_1,101-10-0,AT000091
Tribenuron-methyl,TV000129,Phase_1,101200-48-0,AT000092
Triclocarban,TX006849,TP0000410,101-20-2,AT000093
Chlorpropham,TV000185,Phase_1,101-21-3,AT000094
"2,4,6-Tris(allyloxy)-1,3,5-triazine",TX004808,TP0000716,101-37-1,AT000095
Fenuron,TX001051,TP0000718,101-42-8,AT000096
Flufenoxuron,TX001105,TP0000718,101463-69-8,AT000097
"N-Phenyl-1,4-benzenediamine",TX001760,TP0000308,101-54-2,AT000098
p-Bromodiphenyl ether,TX007648,TP0000410,101-55-3,AT000099
"4,4-Methylenebis(N,N-dimethylaniline)",TX003345,TP0000308,101-61-1,AT000100
17beta-Trenbolone,TX012530,TP0000795,10161-33-8,AT000101
17beta-Trenbolone,TX012530,TP0000721,10161-33-8,AT000102
17beta-Trenbolone,TX112530,TP0000721,10161-33-8,AT000103
17beta-Trenbolone,TX212530,TP0000722,10161-33-8,AT000104
17beta-Trenbolone,TX006461,TO-53,10161-33-8 ,AT000105
17beta-Trenbolone,TX006467,TO-53,10161-33-8 ,AT000106
17beta-Trenbolone,TX006498,TO-53,10161-33-8 ,AT000107
"4,4-Methylenedianiline",TX003485,TP0000308,101-77-9,AT000108
"4,4-Oxydianiline",TX003357,TP0000308,101-80-4,AT000109
Diphenylmethane,TX003948,TP0000716,101-81-5,AT000110
Dicyclohexylamine,TX001679,TP0000718,101-83-7,AT000111
Diphenyl oxide,TX001349,TP0000716,101-84-8,AT000112
2-Benzylideneoctanal,TX003497,TP0000308,101-86-0,AT000113
"1,3-Diphenylguanidine",TX009028,TP0000410,102-06-7,AT000114
"2,2-Dibromo-3-nitrilopropionamide",TX002605,TP0000133,10222-01-2,AT000115
N-Ethyl-3-methylaniline,TX007698,TP0000410,102-27-2,AT000116
"(1aS,8R,9S,9aS)-1-Acetyl-8-[(carbamoyloxy)methyl]-5-formyl-7-methoxy-1,1a,2,9a-tetrahydro-3,9-epoxyazireno[2,3-c][1]benzazocin-9(8H)-yl acetate",TX011657,TP0000795,102409-92-7,AT000117
Heptachlor epoxide,TX011614,TP0000410,1024-57-3,AT000118
"N,N,N,N-Tetrakis(2-Hydroxypropyl)ethylenediamine",TX009210,TP0000410,102-60-3,AT000119
Methamidophos,TV000326,Phase_1,10265-92-6,AT000120
Fadrozole hydrochloride,TX012540,TP0000719,102676-31-3,AT000121
Triethanolamine,TX008349,TP0000410,102-71-6,AT000122
Triacetin,TX003091,TP0000133,102-76-1,AT000123
Tributylamine,TX001698,TP0000131,102-82-9,AT000124
Lufenuron,TX007163,TP0000718,103055-07-8,AT000125
2-Ethylhexyl acetate,TX008966,TP0000718,103-09-3,AT000126
Endosulfan sulfate,TX004524,TP0000719,1031-07-8,AT000127
2-Ethylhexyl acrylate,TX009002,TP0000716,103-11-7,AT000128
Di(2-ethylhexyl) adipate,TX009459,TP0000410,103-23-1,AT000129
Bis(2-ethylhexyl) nonanedioate,TX010230,TP0000410,103-24-2,AT000130
Azobenzene,TX007196,TP0000410,103-33-3,AT000131
"4,4'-Dithiodimorpholine",TX004391,TP0000714,103-34-4,AT000132
Flumioxazin,TV000230,Phase_1,103361-09-7,AT000133
Octyl gallate,TX006606,TP0000307,1034-01-1,AT000134
Benzyl cinnamate,TX007783,TP0000721,103-41-3,AT000135
Propylbenzene,TX009641,TP0000410,103-65-1,AT000136
N-Ethyl aniline,TX010334,TP0000410,103-69-5,AT000137
1-Piperazineethanol,TX002649,TP0000717,103-76-4,AT000138
Acetaminophen,TX002867,TP0000131,103-90-2,AT000139
Imazapic,TV000284,Phase_1,104098-48-8,AT000140
4-Butylaniline,TX012513,TP0000723,104-13-2,AT000141
Mesotrione,TV000056,Phase_1,104206-82-8,AT000142
4-Nonylphenol,TX008327,TP0000795,104-40-5,AT000143
4-Nonylphenol,TX008327,TP0000719,104-40-5,AT000144
4-Nonylphenol,TX108327,TP0000723,104-40-5,AT000145
4-Nonylphenol,TX208327,TP0000724,104-40-5,AT000146
4-Nonylphenol (Straight)  (NP) ,Toxcast_596,TO-53,104-40-5 ,AT000147
4-Dodecylphenol,TX008435,TP0000719,104-43-8,AT000148
4-Propylanisole,TX006676,TP0000723,104-45-0,AT000149
Butylbenzene,TX007577,TP0000410,104-51-8,AT000150
Resmethrin,TV000195,Phase_1,10453-86-8,AT000151
3-Phenyl-2-propen-1-ol,TX003281,TP0000721,104-54-1,AT000152
Dihydro-5-pentyl-2(3H)-furanone,TX003189,TP0000714,104-61-0,AT000153
12-Diphenoxyethane,TX008848,TP0000718,104-66-5,AT000154
5-Heptyldihydro-2(3H)-furanone,TX002311,TP0000131,104-67-6,AT000155
2-Ethyl-1-hexanol,TX001694,TP0000131,104-76-7,AT000156
sodium 5-({[5-methoxy-3-(propan-2-yloxy)-1-benzothiophen-2-yl]carbonyl}amino)tetrazol-1-ide,TX006161,plate-TO-5-1,104795-68-8,AT000157
14-Heptanolide,TX011562,TP0000719,105-21-5,AT000158
Ethyl propionate,TX004164,TP0000717,105-37-3,AT000159
Tamoxifen,TX008618,TP0000410,10540-29-1,AT000160
Tamoxifen,TX008618,TP0000716,10540-29-1,AT000161
Tamoxifen,TX108618,TP0000717,10540-29-1,AT000162
Tamoxifen,TX208618,TP0000718,10540-29-1,AT000163
Clodinafop-propargyl,TV000141,Phase_1,105512-06-9,AT000164
Diethyl propanedioate,TX009871,TP0000714,105-53-3,AT000165
Ethyl butyrate,TX002331,TP0000131,105-54-4,AT000166
NN'-Diethylthiourea,TX001309,TP0000720,105-55-5,AT000167
Caprolactam,TX004224,TP0000308,105-60-2,AT000168
5HPP-33,TX011637,TP0000410,105624-86-0,AT000169
"2,4-Dimethylphenol",TX002120,TP0000133,105-67-9,AT000170
Geranyl acetate,TX002403,TP0000410,105-87-3,AT000171
Dibutyl hexanedioate,TX004339,TP0000131,105-99-7,AT000172
Carbendazim,TX006796,TP0000410,10605-21-7,AT000173
sodium 3-(4-{[1-(3-ethoxyphenyl)-2-(4-methylphenyl)-1H-imidazol-4-yl]carbonyl}piperazin-1-yl)naphthalene-1-carboxylate,TX006256,plate-TO-5-2,1061517-62-1,AT000174
"4-[(9-Cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-yl)amino]-3-methoxy-N-(1-methylpiperidin-4-yl)benzamide",TX012276,TP0000795,1062243-51-9,AT000175
Citronellol,TX001035,TP0000133,106-22-9,AT000176
Citronellal,TX007056,TP0000716,106-23-0,AT000177
Geraniol,TX003395,TP0000133,106-24-1,AT000178
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",TX008666,TP0000410,106-25-2,AT000179
Isopentyl butyrate,TX003896,TP0000131,106-27-4,AT000180
Ethyl heptanoate,TX003846,TP0000131,106-30-9,AT000181
Epoxiconazole,TX003571,TP0000715,106325-08-0,AT000182
4-Chlorotoluene,TX002193,TP0000410,106-43-4,AT000183
4-Methylphenol,TX001815,TP0000133,106-44-5,AT000184
4-Thiocresol,TX012550,TP0000721,106-45-6,AT000185
"1,4-Dichlorobenzene",TX001686,TP0000131,106-46-7,AT000186
4-Chloroaniline,TX007246,TP0000410,106-47-8,AT000187
4-Chlorophenol,TX001693,TP0000720,106-48-9,AT000188
4-Methylaniline,TX004405,TP0000131,106-49-0,AT000189
"1,4-Benzenediamine",TX001904,TP0000720,106-50-3,AT000190
Dimethyl succinate,TX002289,TP0000131,106-65-0,AT000191
Ethyl amyl ketone,TX003884,TP0000722,106-68-3,AT000192
4-Vinyl-1-cyclohexene dioxide,TX009094,TP0000307,106-87-6,AT000193
"1,2-Epoxybutane",TX003257,TP0000133,106-88-7,AT000194
N-(5-fluoro-3-methyl-1H-indol-1-yl)-4-methyl-2-(pyridin-2-yl)pyrimidine-5-carboxamide,TX006252,plate-TO-5-2,1068967-96-3,AT000195
12-Dibromoethane,TX009607,TP0000716,106-93-4,AT000196
"1-[4-(2,2-Diphenylethenyl)piperidin-1-yl]-9-(pyridin-3-yl)nonan-1-one",TX012266,TP0000795,107071-66-9,AT000197
2-Chloroethanol,TX002081,TP0000133,107-07-3,AT000198
Acrylonitrile,TX009669,TP0000718,107-13-1,AT000199
Ethylenediamine,TX004260,TP0000131,107-15-3,AT000200
Allyl alcohol,TX012529,TP0000721,107-18-6,AT000201
Chloroacetaldehyde,TX011731,TP0000719,107-20-0,AT000202
Ethylene glycol,TX011727,TP0000410,107-21-1,AT000203
Sulfuric acid monononyl ester sodium salt,TX008363,TP0000722,1072-15-7,AT000204
Chloromethyl methyl ether,TX009595,TP0000722,107-30-2,AT000205
"2-Methyl-2,4-pentanediol",TX003303,TP0000795,107-41-5,AT000206
"2-Methyl-2,4-pentanediol",TX003303,TP0000721,107-41-5,AT000207
Tebuconazole,TX006984,TP0000410,107534-96-3,AT000208
35-Dimethyl-1-hexyn-3-ol,TX005256,TP0000718,107-54-0,AT000209
"1,4-Cyclohexanedicarboxylic acid",TX002415,TP0000722,1076-97-7,AT000210
7-Hydroxy-37-dimethyloctanal,TX003912,TP0000717,107-75-5,AT000211
2-Pentanone,TX004170,TP0000718,107-87-9,AT000212
"1,3-Butanediol",TX002567,TP0000133,107-88-0,AT000213
Butanoic acid,TX004296,TP0000131,107-92-6,AT000214
1-Methoxy-2-propanol,TX009493,TP0000795,107-98-2,AT000215
1-Methoxy-2-propanol,TX009493,TP0000717,107-98-2,AT000216
Dimethylaminoethanol,TX001673,TP0000796,108-01-0,AT000217
Dimethylaminoethanol,TX001673,TP0000716,108-01-0,AT000218
4-Methyl-2-pentanone,TX002079,TP0000133,108-10-1,AT000219
4-Methyl-2-pentanol,TX002536,TP0000133,108-11-2,AT000220
Isopropyl acetate,TX004160,TP0000719,108-21-4,AT000221
Propylene carbonate,TX011490,TP0000721,108-32-7,AT000222
13-Dimethylbenzene,TX009661,TP0000723,108-38-3,AT000223
3-Methylphenol,TX009470,TP0000715,108-39-4,AT000224
Acetic acid C8-10-branched alkyl esters C9-rich,TX009585,TP0000721,108419-33-6,AT000225
3-Methylaniline,TX009643,TP0000410,108-44-1,AT000226
"1,3-Benzenediamine",TX007095,TP0000410,108-45-2,AT000227
Resorcinol,TX003433,TP0000131,108-46-3,AT000228
Heptylparaben,TX012218,TP0000724,1085-12-7,AT000229
Dimethyl malonate,TX003439,TP0000131,108-59-8,AT000230
"1,3,5-Trimethylbenzene",TX001916,TP0000410,108-67-8,AT000231
"3,5-Dimethylphenol",TX002105,TP0000133,108-68-9,AT000232
35-Dimethylphenol,TX002105,TP0000718,108-68-9,AT000233
246-Trichloro-s-triazine,TX005177,TP0000720,108-77-0,AT000234
Cyanuric acid,TX003273,TP0000795,108-80-5,AT000235
Cyanuric acid,TX003273,TP0000715,108-80-5,AT000236
Diisobutyl ketone,TX005109,TP0000724,108-83-8,AT000237
Cyclohexylamine,TX001889,TP0000133,108-91-8,AT000238
Cyclohexanol,TX003301,TP0000795,108-93-0,AT000239
Cyclohexanol,TX003301,TP0000715,108-93-0,AT000240
Cyclohexanone,TX009515,TP0000795,108-94-1,AT000241
Cyclohexanone,TX009515,TP0000723,108-94-1,AT000242
Phenol,TX001920,TP0000133,108-95-2,AT000243
Benzenethiol,TX008443,TP0000718,108-98-5,AT000244
3-Methylpyridine,TX002397,TP0000714,108-99-6,AT000245
4-Methylmorpholine,TX001835,TP0000715,109-02-4,AT000246
Dibutyl decanedioate,TX003848,TP0000308,109-43-3,AT000247
NN'-Dibutylthiourea,TX002506,TP0000714,109-46-6,AT000248
Pentanoic acid,TX009561,TP0000718,109-52-4,AT000249
3-(Dimethylamino)propylamine,TX002633,TP0000716,109-55-7,AT000250
Methadone hydrochloride,TX011720,TP0000410,1095-90-5,AT000251
Propanedinitrile,TX001804,TP0000718,109-77-3,AT000252
2-Methoxyethanol,TV000004,Phase_1,109-86-4,AT000253
Ethyl formate,TX004168,TP0000133,109-94-4,AT000254
Di-tert-butyl peroxide,TX002798,TP0000308,110-05-4,AT000255
5-Methyl-2-hexanone,TX002093,TP0000714,110-12-3,AT000256
Butanedioic acid,TX003423,TP0000722,110-15-6,AT000257
Maleic acid,TX011259,TP0000721,110-16-7,AT000258
Fumaric acid,TX007208,TP0000722,110-17-8,AT000259
"N,N,NÆ,NÆ-Tetra methylethylenediamine",TX001648,TP0000131,110-18-9,AT000260
Mepanipyrim,TX011722,TP0000410,110235-47-7,AT000261
Oleyl sarcosine,TX005559,TP0000717,110-25-8,AT000262
"N,N-Methylenebisacrylamide",TX008648,TP0000308,110-26-9,AT000263
Isopropyl tetradecanoic acid,TX008641,TP0000716,110-27-0,AT000264
Dihexyl hexanedioate,TX002826,TP0000714,110-33-8,AT000265
Methyl decanoate,TX009348,TP0000722,110-42-9,AT000266
2-Heptanone,TX002101,TP0000719,110-43-0,AT000267
Sorbic acid,TX005141,TP0000133,110-44-1,AT000268
Dimethomorph,TV000130,Phase_1,110488-70-5,AT000269
Pentanal,TX002295,TP0000131,110-62-3,AT000270
14-Butanediol,TX003509,TP0000720,110-63-4,AT000271
2-Butyne-14-diol,TX002999,TP0000716,110-65-6,AT000272
Butanal oxime,TX002987,TP0000716,110-69-0,AT000273
2-(Ethylamino)ethanol,TX002611,TP0000723,110-73-6,AT000274
2-Ethoxyethanol,TX001840,TP0000133,110-80-5,AT000275
Piperazine,TX002921,TP0000308,110-85-0,AT000276
34-Dihydro-2H-pyran,TX002301,TP0000723,110-87-2,AT000277
Morpholine,TX008319,TP0000722,110-91-8,AT000278
Diisopropanolamine,TX002615,TP0000723,110-97-4,AT000279
Glyceryl stearates,TX001111,TP0000721,11099-07-3,AT000280
Methyl octanoate,TX009310,TP0000410,111-11-5,AT000281
Heptanoic acid,TX002096,TP0000133,111-14-8,AT000282
2-Ethoxyethyl acetate,TX007155,TP0000308,111-15-9,AT000283
Ammonium carbamate,TX011454,TP0000795,1111-78-0,AT000284
Ammonium carbamate,TX011454,TP0000716,1111-78-0,AT000285
Decanedioic acid,TX009244,TP0000718,111-20-6,AT000286
"Triethylene glycol, diacetate",TX010054,TP0000410,111-21-7,AT000287
1-Hexanol,TX009433,TP0000720,111-27-3,AT000288
Glutaraldehyde,TX009535,TP0000795,111-30-8,AT000289
Glutaraldehyde,TX009535,TP0000714,111-30-8,AT000290
Diethylenetriamine,TX001800,TP0000716,111-40-0,AT000291
Diethanolamine,TX001847,TP0000133,111-42-2,AT000292
Bis(2-chloroethyl)ether,TX007708,TP0000410,111-44-4,AT000293
Diethylene glycol,TX002325,TP0000131,111-46-6,AT000294
Pebulate,TX006550,TP0000714,1114-71-2,AT000295
Hexamethyleneimine,TX001785,TP0000720,111-49-9,AT000296
12-Ethanediol diacetate,TX011441,TP0000724,111-55-7,AT000297
Ethyl oleate,TX011207,TP0000723,111-62-6,AT000298
Hexanedinitrile,TX001753,TP0000308,111-69-3,AT000299
1-Heptanol,TX011412,TP0000719,111-70-6,AT000300
Heptanal,TX003289,TP0000723,111-71-7,AT000301
2-Butoxyethanol,TX003255,TP0000133,111-76-2,AT000302
Diethylene glycol monomethyl ether,TX002528,TP0000133,111-77-3,AT000303
"(Z,E)-Fenpyroximate",TV000142,Phase_1,111812-58-9,AT000304
Methyl dodecanoate,TX009294,TP0000410,111-82-0,AT000305
Nonane,TX002423,TP0000717,111-84-2,AT000306
1-Octanol,TX002751,TP0000131,111-87-5,AT000307
NN-Dimethyloctanamide,TX006622,TP0000717,1118-92-9,AT000308
2-(2-Ethoxyethoxy)ethanol,TX002504,TP0000133,111-90-0,AT000309
Dimethyl glutarate,TX003149,TP0000131,1119-40-0,AT000310
Bis(2-methoxyethyl) ether,TX002472,TP0000308,111-96-6,AT000311
Thiacloprid,TV000168,Phase_1,111988-49-9,AT000312
Nicosulfuron,TX005849,TP0000714,111991-09-4,AT000313
Sodium hexyldecyl sulfate,TX003824,TP0000410,1120-01-0,AT000314
Octadecyl sulfate sodium salt,TX009892,TP0000716,1120-04-3,AT000315
Dodecyltrimethylammonium chloride,TX002425,TP0000410,112-00-5,AT000316
Undecane,TX002449,TP0000133,1120-21-4,AT000317
1-Tetradecene,TX009368,TP0000795,1120-36-1,AT000318
Nonanoic acid,TX001717,TP0000131,112-05-0,AT000319
"1,3-Propane sultone",TX002339,TP0000308,1120-71-4,AT000320
2-Butoxyethyl acetate,TX008830,TP0000717,112-07-2,AT000321
2-Undecanone,TX003279,TP0000724,112-12-9,AT000322
Octyl acetate,TX008684,TP0000719,112-14-1,AT000323
NN-Dimethyldodecan-1-amine,TX009477,TP0000719,112-18-5,AT000324
Halofenozide,TX011643,TP0000718,112226-61-6,AT000325
2-(Hexyloxy)ethanol,TX008932,TP0000410,112-25-4,AT000326
Triethylene glycol,TX008824,TP0000307,112-27-6,AT000327
Tetraconazole,TV000233,Phase_1,112281-77-3,AT000328
1-Decanol,TX002474,TP0000133,112-30-1,AT000329
Decanal,TX011559,TP0000717,112-31-2,AT000330
2-(2-Butoxyethoxy)ethanol,TX002545,TP0000308,112-34-5,AT000331
2-[2-(2-Methoxyethoxy)ethoxy]ethanol,TX009306,TP0000720,112-35-6,AT000332
10-Undecenoic acid,TX003876,TP0000410,112-38-9,AT000333
Tebufenozide,TV000134,Phase_1,112410-23-8,AT000334
1-Undecanol,TX009029,TP0000410,112-42-5,AT000335
Triethylene glycol dimethyl ether,TX007335,TP0000410,112-49-2,AT000336
2-[2-(2-Ethoxyethoxy)ethoxy]ethanol,TX003263,TP0000410,112-50-5,AT000337
Pioglitazone hydrochloride,TX009773,TP0000410,112529-15-4,AT000338
1-Dodecanol,TX003243,TP0000133,112-53-8,AT000339
1-Dodecanethiol,TX009352,TP0000714,112-55-0,AT000340
Tetraethylene glycol,TX009392,TP0000720,112-60-7,AT000341
Methyl linoleate,TX009545,TP0000723,112-63-0,AT000342
1-Tridecanol,TX003417,TP0000131,112-70-9,AT000343
1-Tetradecanol,TX008594,TP0000410,112-72-1,AT000344
Zenarestat,TX006186,plate-TO-5-1,112733-06-9,AT000345
Oleic acid,TX008743,TP0000715,112-80-1,AT000346
Letrozole,TX012534,TP0000715,112809-51-5,AT000347
Cyclanilide,TV000078,Phase_1,113136-77-9,AT000348
Cycloate,TV000238,Phase_1,1134-23-2,AT000349
MGK,TV000224,Phase_1,113-48-4,AT000350
"{4-[2-({2-hydroxy-2-[2-(trifluoromethyl)-1,3-thiazol-4-yl]ethyl}amino)propyl]phenoxy}acetic acid",TX006165,plate-TO-5-1,113734-18-2,AT000351
Fenoxaprop-(2S)-ethyl,TV000374,Phase_1,113776-20-8,AT000352
Erythromycin,TX007737,TP0000410,114-07-8,AT000353
Propoxur,TV000118,Phase_1,114-26-1,AT000354
Imazamox,TV000035,Phase_1,114311-32-9,AT000355
Anthralin,TX008510,TP0000307,1143-38-0,AT000356
Fenbuconazole,TV000135,Phase_1,114369-43-6,AT000357
Chlorendic acid,TX005644,TP0000308,115-28-6,AT000358
Endosulfan,TV000088,Phase_1,115-29-7,AT000359
Dicofol,TV000087,Phase_1,115-32-2,AT000360
Bromophenol blue,TX007473,TP0000719,115-39-9,AT000361
Tolazamide,TX005875,TP0000410,1156-19-0,AT000362
Pentaerythritol,TX011492,TP0000795,115-77-5,AT000363
Pentaerythritol,TX011492,TP0000718,115-77-5,AT000364
Triphenyl phosphate,TX007282,TP0000410,115-86-6,AT000365
Linalyl acetate,TX009986,TP0000714,115-95-7,AT000366
Tris(2-chloroethyl) phosphate,TX002409,TP0000308,115-96-8,AT000367
335-Trimethylcyclohexanol,TX004214,TP0000722,116-02-9,AT000368
Aldicarb,TV000050,Phase_1,116-06-3,AT000369
Aldicarb,TX000685,TP0000131,116-06-3,AT000370
Bromuconazole,TX011626,TP0000720,116255-48-2,AT000371
"1-(Hydroxymethyl)-5,5-dimethylhydantoin",TX002915,TP0000133,116-25-6,AT000372
Dodecyl gallate,TX012232,TP0000714,1166-52-5,AT000373
Novaluron,TV000234,Phase_1,116714-46-6,AT000374
Tetrachlorophthalic anhydride,TX005813,TP0000721,117-08-8,AT000375
Fluthiacet-methyl,TV000321,Phase_1,117337-19-6,AT000376
Quercetin,TX007264,TP0000307,117-39-5,AT000377
Picoxystrobin,TX011622,TP0000410,117428-22-5,AT000378
Thiazopyr,TV000226,Phase_1,117718-60-2,AT000379
2-Aminoanthraquinone,TX002893,TP0000308,117-79-3,AT000380
Dichlone,TX002407,TP0000724,117-80-6,AT000381
Diethylhexyl phthalate,TV000028,Phase_1,117-81-7,AT000382
Dioctyl phthalate,TX009038,TP0000410,117-84-0,AT000383
2-Hydroxybenzophenone,TX012256,TP0000716,117-99-7,AT000384
Spiroxamine,TV000152,Phase_1,118134-30-8,AT000385
1H-Pyrazole-3-carboxylic acid 45-dihydro-5-oxo-1-(4-sulfophenyl)-,TX008072,TP0000720,118-47-8,AT000386
"1,3-Dichloro-5,5-dimethylhydantoin",TX005164,TP0000308,118-52-5,AT000387
Phenyl salicylate,TX006891,TP0000717,118-55-8,AT000388
